,sbd,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
469,2047634,,,,,,,,,,,,
470,2047635,,,,,,,,,,,,
471,2047636,,,,,,,,,,,,
472,2047637,7.4,7,7,7,7,,,,,,,
473,2047638,,,,,,,,,,,,
474,2047639,,,,,,,,,,,,
475,2047640,8.8,7.5,7.75,8.5,7.75,,,,,,,
476,2047641,,,,,,,,,,,,
477,2047642,,,,,,,,,,,,
478,2047643,7.2,4.5,4.75,3.75,2.75,,,,,,,
479,2047644,6.8,5.5,4.5,4.75,2.75,,,,,,,
480,2047645,8,5,7,9.25,8.75,,,,,,,
481,2047646,,,,,,,,,,,,
482,2047647,,,,,,,,,,,,
483,2047648,,,,,,,,,,,,
484,2047649,5.2,4.5,4,4.75,4,,,,,,,
485,2047650,,,,,,,,,,,,
486,2047651,,,,,,,,,,,,
487,2047652,5.2,,,4.75,6,,,,,,,
488,2047653,,,,,,,,,,,,
489,2047654,8.2,,,8.25,8.75,,,,,,,
490,2047655,,,,,,,,,,,,
491,2047656,7.6,6,7.75,8.25,6,,,,,,,
492,2047657,,,,,,,,,,,,
493,2047658,,,,,,,,,,,,
494,2047659,,,,,,,,,,,,
495,2047660,,,,,,,,,,,,
496,2047661,6.2,6.25,6.5,5,5.75,,,,,,5.4,
497,2047662,7.8,6.25,7.5,7.5,4.5,,,,,,7.8,
498,2047663,,,,,,,,,,,,
499,2047664,5.2,2.75,6.25,3.5,4.25,,,,,,4.8,
500,2047665,,,,,,,,,,,,
501,2047666,4.8,5.5,3.5,5.25,3.5,,,,,,,
502,2047667,7.2,5.75,5.75,8.25,3.75,,,,,,,
503,2047668,5.4,7,6.25,3,4.25,,,,,,3.4,
504,2047669,8,5.25,5.75,8,5.75,,,,,,5.4,
505,2047670,2.8,4.5,2.5,3.5,4.5,,,,,,3,
506,2047671,7.4,5,6,7.25,6,,,,,,8.4,
507,2047672,7.6,6.5,7,7,6.25,,,,,,8.8,
508,2047673,,,,,,,,,,,,
509,2047674,,,,,,,,,,,,
510,2047675,9.4,7.75,8.5,9.25,9.5,,,,,,9.6,
511,2047676,7.4,,,7.75,7.25,,,,,,,
512,2047677,7.2,6.5,6.5,6.75,7,,,,,,5.2,
513,2047678,6.8,5.25,5.5,7,4.25,,,,,,4,
514,2047679,,,,,,,,,,,,
515,2047680,7.8,5.25,6.25,6,6.5,,,,,,5.8,
516,2047681,7.4,7.5,7.75,3.25,4,,,,,,6.4,
517,2047682,7.6,7,7.5,8.25,5,,,,,,6.6,
518,2047683,6.6,5,4.75,5.75,3.25,,,,,,,
519,2047684,,,,,,,,,,,,
520,2047685,8.6,7.75,6.5,5.5,3.25,,,,,,8.2,
521,2047686,,,,,,,,,,,,
522,2047687,6.4,6.5,6.75,6.5,6.25,,,,,,6.4,
523,2047688,8.2,,,9,7.75,,,,,,,
524,2047689,7.6,6,5.5,5.25,4.5,,,,,,7.2,
525,2047690,,,,,,,,,,,,
526,2047691,5.2,5.5,4.25,2.5,3.75,,,,,,3.8,
527,2047692,4.2,,,4.25,3.25,,,,,,,
528,2047693,5.6,6.25,4.75,4,3.75,,,,,,3.6,
529,2047694,,,,,,,,,,,,
530,2047695,7.8,6.5,6,4.25,2.5,,,,,,6,
531,2047696,7.6,6.5,5,7.25,5.75,,,,,,7.6,
532,2047697,,,,,,,,,,,,
533,2047698,8,,,8,6.25,,,,,,,
534,2047699,8.2,6,8,7.75,4.75,,,,,,,
535,2047700,8.8,6.25,7.75,8.25,7,,,,,,8.2,
536,2047701,7.6,6.25,8,6.75,6.75,,,,,,6.2,
537,2047702,8,7,7.25,8,3.5,,,,,,7.6,
538,2047703,6.4,5,5.75,5,3.75,,,,,,5,
539,2047704,7,5.75,6.75,4.5,4.75,,,,,,5.2,
540,2047705,3.8,2,4,2.75,3.75,,,,,,5.6,
541,2047706,7.4,6.5,6,9,7.75,,,,,,8.2,
542,2047707,8,5.5,7.25,7.75,4.75,,,,,,6.4,
543,2047708,5.8,3.75,6.25,4,4,,,,,,7,
544,2047709,,,,,,,,,,,,
545,2047710,,,,,,,,,,,,
546,2047711,,,,,,,,,,,,
547,2047712,,,,,,,,,,,,
548,2047713,,,,,,,,,,,,
549,2047714,8.4,8.25,5,7.25,7.75,,,,,,8.4,
550,2047715,7.8,6.25,7.75,7.5,5.25,,,,,,6.8,
551,2047716,,,,,,,,,,,,
552,2047717,8.4,,,8.75,8.5,,,,,,,
553,2047718,,,,,,,,,,,,
554,2047719,,,,,,,,,,,,
555,2047720,,,,,,,,,,,,
556,2047721,,,,,,,,,,,,
557,2047722,,,,,,,,,,,,
558,2047723,,,,,,,,,,,,
559,2047724,,,,,,,,,,,,
560,2047725,7.6,,8,7.5,5,,,,,,,
561,2047726,,,,,,,,,,,,
562,2047727,,,,,,,,,,,,
563,2047728,,,,,,,,,,,,
564,2047729,6.8,7.75,5.25,7.25,4.5,,,,,,,
565,2047730,7.4,,,6.75,6.5,,,,,,,
566,2047731,7.6,,,6.5,6,,,,,,,
567,2047732,,,,,,,,,,,,
568,2047733,,,,,,,,,,,,
569,2047734,,,,,,,,,,,,
570,2047735,,,,,,,,,,,,
571,2047736,,,,,,,,,,,,
572,2047737,,,,,,,,,,,,
573,2047738,8.2,,8,8.75,3,,,,,,,
574,2047739,8.6,,8.75,8.25,4,,,,,,,
