,sbd,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
1636,2048801,,,,,,,,,,,,
1637,2048802,8.6,6,6.5,8,6,,,,,,8.2,
1638,2048803,9.2,7.5,8,8.25,7.25,,,,,,8.6,
1639,2048804,,,,,,,,,,,,
1640,2048805,8.6,6,6.75,7.75,4.5,,,,,,5.4,
1641,2048806,8,6.25,7.25,8,7.5,,,,,,8.2,
1642,2048807,,,,,,,,,,,,
1643,2048808,8.6,5.25,5.5,8.75,7.75,,,,,,6.4,
1644,2048809,,,,,,,,,,,,
1645,2048810,,,,,,,,,,,,
1646,2048811,9,6.5,6,7.75,7.25,,,,,,8.4,
1647,2048812,,,,,,,,,,,,
1648,2048813,8.6,7.25,8.25,6,5.25,,,,,,9.2,
1649,2048814,9.2,6.5,5.75,8.25,8.75,,,,,,8.8,
1650,2048815,7.8,6.83,6.75,8.25,6.5,,,,,,7.4,
1651,2048816,,,,,,,,,,,,
1652,2048817,,,,,,,,,,,,
1653,2048818,9.2,6.25,4.25,7.75,8,,,,,,8.6,
1654,2048819,,,,,,,,,,,,
1655,2048820,7.2,6.5,6.75,6.5,4.75,,,,,,8.6,
1656,2048821,8.6,7.75,8.5,8.25,7.5,,,,,,8.6,
1657,2048822,8.2,6.5,6.75,6,6,,,,,,8.8,
1658,2048823,8.4,7,7.75,8.5,8.5,,,,,,6.8,
1659,2048824,8,7.5,8.25,8.5,5,,,,,,7.2,
1660,2048825,6.6,7.5,6.75,3.75,3.5,,,,,,7.2,
1661,2048826,8.2,6.75,8.75,8.25,5.25,,,,,,7.8,
1662,2048827,,,,,,,,,,,,
1663,2048828,8,7.25,7,9,5.25,,,,,,9,
1664,2048829,8.4,7.17,7.5,8.5,7.75,,,,,,8.6,
1665,2048830,,,,,,,,,,,,
1666,2048831,,,,,,,,,,,,
1667,2048832,8.4,7.75,6.5,7.75,5.25,,,,,,8.8,
1668,2048833,8,7,6.75,5.25,3.5,,,,,,8.4,
1669,2048834,7.4,6.5,7,8.5,7,,,,,,,
1670,2048835,8.8,7.25,6.25,8,6,,,,,,8.4,
1671,2048836,,,,,,,,,,,,
1672,2048837,6.6,6.25,6.5,8,5.75,,,,,,,
1673,2048838,9,8.25,6.25,8.25,9.5,,,,,,8.4,
1674,2048839,6.4,7.5,4,3.75,3.75,,,,,,7.6,
1675,2048840,7.6,8,6.5,7,4,,,,,,9.2,
1676,2048841,7.8,7,7.25,8,6.5,,,,,,8.8,
1677,2048842,,,,,,,,,,,,
1678,2048843,,,,,,,,,,,,
1679,2048844,9,7.5,9,8.75,6.25,,,,,,8.4,
1680,2048845,7.6,6,7.5,7.5,5.25,,,,,,6.4,
1681,2048846,8.6,6.5,8.5,7.75,7,,,,,,9.2,
1682,2048847,7.2,6.25,6,6.5,4.5,,,,,,,
1683,2048848,7.8,7,7,7.5,7,,,,,,8.8,
1684,2048849,9.2,7.5,7.5,7,5.75,,,,,,6.6,
1685,2048850,8.2,5.5,6.5,9,7.75,,,,,,7.6,
1686,2048851,,,,,,,,,,,,
1687,2048852,6,,,5.75,5,,,,,,,
1688,2048853,7.8,6.25,7.25,7.25,5.75,,,,,,8.6,
1689,2048854,8.2,5.25,5.25,8.75,8.5,,,,,,7.4,
1690,2048855,7.6,6.25,7,7,4.75,,,,,,6.8,
1691,2048856,8.2,6.25,6.25,5.25,3.75,,,,,,6,
1692,2048857,7.8,6.5,7,7.5,5.5,,,,,,9,
1693,2048858,8.8,6.5,8,6.25,6.25,,,,,,8.6,
1694,2048859,8.2,4.75,7.75,7.75,5,,,,,,9,
1695,2048860,7.6,7.75,7,5.5,4,,,,,,7,
1696,2048861,,,,,,,,,,,,
1697,2048862,,,,,,,,,,,,
1698,2048863,7.4,6.75,7.5,7.5,5.5,,,,,,9.6,
1699,2048864,,,,,,,,,,,,
1700,2048865,,,,,,,,,,,,
1701,2048866,,,,,,,,,,,,
1702,2048867,7,5.75,5.75,3.75,3,,,,,,6,
1703,2048868,,,,,,,,,,,,
1704,2048869,,,,,,,,,,,,
1705,2048870,,,,,,,,,,,,
1706,2048871,8.8,6.5,8,8.5,3.75,,,,,,6.4,
1707,2048872,8.4,6.5,8.25,7.25,5.75,,,,,,9.2,
1708,2048873,,,,,,,,,,,,
1709,2048874,9.2,7,8,9,4.75,,,,,,7,
1710,2048875,7.6,7.75,6.25,5.25,5.5,,,,,,8,
1711,2048876,,,,,,,,,,,,
1712,2048877,,,,,,,,,,,,
1713,2048878,,,,,,,,,,,,
1714,2048879,,,,,,,,,,,,
1715,2048880,,,,,,,,,,,,
1716,2048881,,,,,,,,,,,,
1717,2048882,8.8,6,8.25,8.75,5.75,,,,,,7.8,
1718,2048883,,,,,,,,,,,,
1719,2048884,7.6,6,5.5,4,4.25,,,,,,7.4,
1720,2048885,9,7.75,7.5,8.5,8.5,,,,,,8.8,
1721,2048886,8,7.75,6.75,6.5,6,,,,,,8.2,
1722,2048887,8.2,,,7,4,,,,,,,
1723,2048888,7.4,7.25,7.5,7.25,6.5,,,,,,9,
1724,2048889,,,,,,,,,,,,
1725,2048890,,,,,,,,,,,,
1726,2048891,,,,,,,,,,,,
1727,2048892,,,,,,,,,,,,
1728,2048893,,,,,,,,,,,,
1729,2048894,7,6,7.75,7.5,7.25,,,,,,8.6,
1730,2048895,7.6,6.25,7.25,5.75,4.5,,,,,,7.2,
1731,2048896,,,,,,,,,,,,
1732,2048897,8.2,6.75,8,7.75,5.75,,,,,,8.6,
1733,2048898,7.4,7,5.25,6,2.75,,,,,,7.4,
1734,2048899,,,,,,,,,,,,
1735,2048900,,,,,,,,,,,,
1736,2048901,8.6,6.25,8.5,8.75,6.25,,,,,,9,
1737,2048902,,,,,,,,,,,,
1738,2048903,7.8,7,6.5,7.5,8,,,,,,8.6,
1739,2048904,,,,,,,,,,,,
1740,2048905,,,,,,,,,,,,
1741,2048906,7.8,6,7,8.5,6.25,,,,,,8.8,
1742,2048907,8.4,8.25,8,7.25,6.5,,,,,,9.2,
1743,2048908,8.4,5.75,6,6.75,4,,,,,,8.6,
1744,2048909,8.2,6.17,8.25,6.5,6.5,,,,,,9.4,
1745,2048910,8.8,6.75,6,8,8.75,,,,,,9,
1746,2048911,8.2,6.5,8,4.25,4.5,,,,,,7.6,
1747,2048912,7,6.75,5.75,6.75,5.25,,,,,,7.8,
1748,2048913,8.8,7.5,6.75,6.75,5.25,,,,,,7.6,
1749,2048914,7.8,,,9,7.75,,,,,,,
1750,2048915,8,6.75,5,8.25,4.25,,,,,,7,
1751,2048916,,,,,,,,,,,,
1752,2048917,8.8,6,8,6,5.75,,,,,,8.6,
1753,2048918,6.8,7.25,6.5,5.75,5.5,,,,,,7.8,
1754,2048919,7.2,5.75,5.25,6,5,,,,,,7.6,
1755,2048920,8.2,6.75,9.25,7,6.5,,,,,,8.2,
1756,2048921,8.6,7,6.75,8.25,4.75,,,,,,9,
1757,2048922,,,,,,,,,,,,
1758,2048923,7,6.5,5.5,7.25,5.75,,,,,,5.8,
1759,2048924,8.6,6,5,8.5,8,,,,,,8.8,
1760,2048925,7.4,6.25,6.5,7.5,6,,,,,,7,
1761,2048926,8.2,6.25,8.25,8,4.75,,,,,,8.2,
1762,2048927,,,,,,,,,,,,
1763,2048928,9.2,,5,9,8.5,,,,,,,
1764,2048929,8.8,7.5,8.25,7.25,7,,,,,,9.2,
1765,2048930,7.2,7,7,6,4.5,,,,,,7,
1766,2048931,,,,,,,,,,,,
1767,2048932,,,,,,,,,,,,
1768,2048933,7.2,5.5,4.5,7.75,7,,,,,,6,
1769,2048934,,,,,,,,,,,,
1770,2048935,7.8,,6,8,6.5,,,,,,,
1771,2048936,9,7.25,8.5,8.25,6.5,,,,,,8.8,
1772,2048937,,,,,,,,,,,,
1773,2048938,,,,,,,,,,,,
1774,2048939,6.6,6.75,6,6.5,3.75,,,,,,8,
1775,2048940,8.8,8.25,6,7,5,,,,,,8.8,
1776,2048941,8,5.25,7.5,6,4.25,,,,,,7.8,
1777,2048942,,,,,,,,,,,,
1778,2048943,8.2,7.25,8.5,8.25,5.75,,,,,,6.6,
1779,2048944,,,,,,,,,,,,
1780,2048945,,,,,,,,,,,,
1781,2048946,,,,,,,,,,,,
1782,2048947,8.8,6.75,8,8,7.75,,,,,,9.4,
1783,2048948,7.8,6,7,6.25,3.25,,,,,,7,
1784,2048949,7.4,6.25,6,6.25,4.75,,,,,,9.4,
1785,2048950,8.2,7.75,7.75,6.75,6.25,,,,,,7.6,
1786,2048951,,,,,,,,,,,,
1787,2048952,8,7.25,4.25,8.25,8.5,,,,,,9.2,
1788,2048953,7.8,6.25,7.5,6.5,6.25,,,,,,8.8,
1789,2048954,8.6,8.25,6.75,7.75,7,,,,,,9.4,
1790,2048955,,,,,,,,,,,,
1791,2048956,,,,,,,,,,,,
1792,2048957,8.2,7.5,7,8.25,7.75,,,,,,7.2,
1793,2048958,8,8.25,7.25,7.5,8.25,,,,,,6.4,
1794,2048959,8.4,6.5,7,7.75,5.75,,,,,,7.8,
1795,2048960,8,6.25,7.5,7,6.75,,,,,,9.6,
1796,2048961,7.2,5.75,6.5,6.5,4.5,,,,,,7.4,
1797,2048962,8,5.75,6,8,7,,,,,,7.4,
1798,2048963,9.2,7.5,8.25,8,8.75,,,,,,9.2,
1799,2048964,8,7.75,7.5,7.25,6,,,,,,7,
1800,2048965,,,,,,,,,,,,
1801,2048966,7.2,6.25,5.25,7.5,6.75,,,,,,7.8,
1802,2048967,9,5.5,6.25,8.25,4.25,,,,,,6.4,
1803,2048968,,,,,,,,,,,,
1804,2048969,,,,,,,,,,,,
1805,2048970,8,6.75,8.75,8,4.75,,,,,,8.4,
1806,2048971,8.6,6.75,7.25,8.25,4.75,,,,,,6.6,
1807,2048972,8.4,6.75,5.25,8,8,,,,,,7.2,
1808,2048973,7.8,7.25,7.25,8,8.25,,,,,,7.2,
1809,2048974,7.6,7.5,8,7.75,5.5,,,,,,8.8,
1810,2048975,9,7.25,7.25,7.75,6.5,,,,,,9,
1811,2048976,8.2,7.75,8.25,8.75,6.25,,,,,,8.4,
1812,2048977,7.2,7.25,6.25,7,5,,,,,,8.6,
1813,2048978,7.2,,,7.25,8,,,,,,,
1814,2048979,6,7.25,6,6,4,,,,,,,
1815,2048980,6.8,6.25,6,5,3.75,,,,,,6.8,
1816,2048981,,,,,,,,,,,,
1817,2048982,8.6,7.5,7,7.5,6.75,,,,,,8.6,
1818,2048983,7.6,7,7.25,6.5,4.75,,,,,,6.4,
1819,2048984,8.4,5.5,7,6.75,5,,,,,,7.2,
1820,2048985,9,7,5.75,7.5,5.5,,,,,,8.2,
1821,2048986,8.6,,,8.25,7.75,,,,,,,
1822,2048987,8,,,7.5,7.25,,,,,,,
1823,2048988,,,,,,,,,,,,
1824,2048989,9,7,8.25,8.5,8.75,,,,,,,
1825,2048990,7.6,7,5,7,3.75,,,,,,9.6,
1826,2048991,7.8,6.75,6.25,8.25,6.75,,,,,,8.6,
1827,2048992,,,,,,,,,,,,
1828,2048993,,,,,,,,,,,,
1829,2048994,5.8,5.5,5.5,4,4,,,,,,,
1830,2048995,8.4,5.75,7.75,8.25,5,,,,,,6.8,
1831,2048996,7.8,5.75,6,6,4.75,,,,,,7.4,
1832,2048997,,,,,,,,,,,,
1833,2048998,8.8,6.25,8,9.25,6.25,,,,,,9.4,
1834,2048999,7.8,6.5,5.75,8.25,4,,,,,,8.8,
1835,2049000,,,,,,,,,,,,
1836,2049001,8,6.75,7,8.75,7.75,,,,,,8.6,
1837,2049002,,,,,,,,,,,,
1838,2049003,8.6,4.5,8.75,6,5.75,,,,,,8.8,
1839,2049004,7.2,6.5,7.5,8.5,5.5,,,,,,7.4,
1840,2049005,7.6,6.5,8,6.25,6.25,,,,,,9.2,
1841,2049006,8.4,6.5,5.25,8.5,4,,,,,,9.8,
1842,2049007,7.8,8,6.5,6,4.25,,,,,,8.4,
1843,2049008,,,,,,,,,,,,
1844,2049009,7.6,7,4.5,8.5,6.25,,,,,,7.2,
1845,2049010,7,6,5.5,5,3,,,,,,7.8,
1846,2049011,8.2,5,7.75,7,3.5,,,,,,7.4,
1847,2049012,8.2,6.25,5.75,8,7.25,,,,,,6.6,
1848,2049013,9.2,7,7.25,8,5.25,,,,,,8.4,
1849,2049014,,,,,,,,,,,,
1850,2049015,7.4,6.5,4.75,8.25,6.5,,,,,,8.4,
1851,2049016,,,,,,,,,,,,
1852,2049017,,,,,,,,,,,,
1853,2049018,7.6,7.25,7.25,5.5,5.5,,,,,,8.6,
1854,2049019,,,,,,,,,,,,
1855,2049020,7.8,5,5.5,6.5,5.25,,,,,,8.6,
1856,2049021,7.6,6.75,4.75,8.25,7.5,,,,,,7.4,
1857,2049022,,,,,,,,,,,,
1858,2049023,6.8,7.25,4.5,4.25,3,,,,,,7.6,
1859,2049024,,,,,,,,,,,,
1860,2049025,7.4,4.5,7.25,4.5,3.75,,,,,,8.4,
1861,2049026,7.8,6.25,4.25,7,5.5,,,,,,8.6,
1862,2049027,8.4,7.25,5.5,7.5,6.5,,,,,,8.4,
1863,2049028,6.8,7.25,6.5,8.25,6.25,,,,,,6.4,
1864,2049029,6.2,6.75,3.75,6.25,4,,,,,,,
1865,2049030,,,,,,,,,,,,
1866,2049031,,,,,,,,,,,,
1867,2049032,8.6,5.5,3.25,8,7.5,,,,,,8,
1868,2049033,8,7,8,7.75,5.75,,,,,,9,
1869,2049034,,,,,,,,,,,,
1870,2049035,,,,,,,,,,,,
1871,2049036,8.2,6,6.75,6,2.5,,,,,,8.6,
1872,2049037,6.8,6,6,4.5,3.25,,,,,,7,
1873,2049038,,,,,,,,,,,,
1874,2049039,,,,,,,,,,,,
1875,2049040,7.4,6.5,6.5,7.25,5.75,,,,,,7,
1876,2049041,,,,,,,,,,,,
1877,2049042,8.2,6,5.5,6.75,4.25,,,,,,8,
1878,2049043,,,,,,,,,,,,
1879,2049044,8,5.75,5.25,7,4.75,,,,,,8.4,
1880,2049045,8.8,7,8.5,8.25,8.5,,,,,,7.8,
1881,2049046,,,,,,,,,,,,
1882,2049047,,,,,,,,,,,,
1883,2049048,8.6,6.75,8.25,8.5,6.75,,,,,,9.8,
1884,2049049,,,,,,,,,,,,
1885,2049050,9.4,6,9,6.25,5.25,,,,,,8.2,
1886,2049051,8,5,8.5,7.75,8.5,,,,,,8.2,
1887,2049052,,,,,,,,,,,,
1888,2049053,,,,,,,,,,,,
1889,2049054,7.6,6.5,5.75,7,4,,,,,,6.8,
1890,2049055,7.6,7,6.5,6.25,5,,,,,,7.8,
1891,2049056,8.4,7.75,7,7.25,6.75,,,,,,8.2,
1892,2049057,7.6,6.75,6.25,7.75,6.25,,,,,,7,
1893,2049058,8.6,7.5,9,6.5,5,,,,,,9.2,
1894,2049059,,,,,,,,,,,,
1895,2049060,8.6,6,7.75,8.25,5.25,,,,,,6.4,
1896,2049061,7.6,6.5,7.25,7.75,7.5,,,,,,9.4,
1897,2049062,8.6,8.25,8,8.75,7.75,,,,,,9.2,
1898,2049063,8.4,6.5,6,8,9.25,,,,,,6.8,
1899,2049064,7,7.25,5.75,7.75,7.5,,,,,,8.6,
1900,2049065,,,,,,,,,,,,
1901,2049066,,,,,,,,,,,,
1902,2049067,7.6,7.25,7.5,7.25,4.75,,,,,,8.2,
1903,2049068,8.4,7,7.5,7.5,6.75,,,,,,8.6,
1904,2049069,,,,,,,,,,,,
1905,2049070,,,,,,,,,,,,
1906,2049071,7.6,6.5,6.75,7.75,5.75,,,,,,8.4,
1907,2049072,8,5.5,6.5,8,7.5,,,,,,8.8,
1908,2049073,8.2,6.25,6.75,8,5,,,,,,8.4,
1909,2049074,8.6,6.75,8,5.5,5.75,,,,,,9.4,
1910,2049075,,,,,,,,,,,,
1911,2049076,8.2,,6.75,8,8.25,,,,,,,
1912,2049077,,,,,,,,,,,,
1913,2049078,8.4,7.25,6.25,8,5,,,,,,8,
1914,2049079,8.6,8,6.75,8.25,4.75,,,,,,7.4,
1915,2049080,7.2,6.75,3.5,8,8.5,,,,,,7.6,
1916,2049081,,,,,,,,,,,,
1917,2049082,,,,,,,,,,,,
1918,2049083,,,,,,,,,,,,
1919,2049084,,,,,,,,,,,,
1920,2049085,,,,,,,,,,,,
1921,2049086,,,,,,,,,,,,
1922,2049087,,,,,,,,,,,,
1923,2049088,,,,,,,,,,,,
1924,2049089,,,,,,,,,,,,
1925,2049090,,,,,,,,,,,,
1926,2049091,,,,,,,,,,,,
1927,2049092,,,,,,,,,,,,
1928,2049093,,,,,,,,,,,,
1929,2049094,6.8,6.75,6.25,5.5,5.5,,,,,,,
1930,2049095,7,4.25,5.75,5.75,5,,,,,,,
1931,2049096,,,,,,,,,,,,
1932,2049097,,,,,,,,,,,,
1933,2049098,,,,,,,,,,,,
1934,2049099,,,,,,,,,,,,
1935,2049100,,,,,,,,,,,,
1936,2049101,,,,,,,,,,,,
1937,2049102,,,,,,,,,,,,
1938,2049103,,,,,,,,,,,,
1939,2049104,,,,,,,,,,,,
1940,2049105,,,,,,,,,,,,
1941,2049106,,,,,,,,,,,,
1942,2049107,,,,,,,,,,,,
1943,2049108,,,,,,,,,,,,
1944,2049109,,,,,,,,,,,,
1945,2049110,,,,,,,,,,,,
1946,2049111,,,,,,,,,,,,
1947,2049112,,,,,,,,,,,,
1948,2049113,,,,,,,,,,,,
1949,2049114,,,,,,,,,,,,
1950,2049115,,,,,,,,,,,,
1951,2049116,7.8,6.75,7.25,7.5,6.25,,,,,,,
1952,2049117,8,,,8,8,,,,,,,
1953,2049118,7.8,,,8,7.75,,,,,,,
1954,2049119,,,,,,,,,,,,
1955,2049120,,,,,,,,,,,,
1956,2049121,,,,,,,,,,,,
1957,2049122,,,,,,,,,,,,
1958,2049123,,,,,,,,,,,,
1959,2049124,,,,,,,,,,,,
1960,2049125,,,,,,,,,,,,
1961,2049126,8.2,,,9.25,9.5,,,,,,8,
1962,2049127,,,,,,,,,,,,
1963,2049128,6.8,,,4,3.5,,,,,,,
1964,2049129,,,,,,,,,,,,
1965,2049130,,,,,,,,,,,,
1966,2049131,8.4,,3.75,8.75,8.5,,,,,,,
1967,2049132,,,,,,,,,,,,
1968,2049133,,,,,,,,,,,,
1969,2049134,,,,,,,,,,,,
1970,2049135,,,,,,,,,,,,
1971,2049136,,,,,,,,,,,,
1972,2049137,,,,,,,,,,,,
1973,2049138,,,,,,,,,,,,
1974,2049139,7.6,5.25,6,4.75,4,,,,,,,
1975,2049140,,,,,,,,,,,,
1976,2049141,,,,,,,,,,,,
1977,2049142,,,,,,,,,,,,
1978,2049143,5.2,6.75,5.25,3.5,5,,,,,,,
1979,2049144,,,,,,,,,,,,
1980,2049145,,,,,,,,,,,,
1981,2049146,,,,,,,,,,,,
1982,2049147,,,,,,,,,,,,
1983,2049148,,,,,,,,,,,,
1984,2049149,,,,,,,,,,,,
1985,2049150,,,,,,,,,,,,
1986,2049151,,,,,,,,,,,,
1987,2049152,,,,,,,,,,,,
1988,2049153,,,,,,,,,,,,
1989,2049154,,,,,,,,,,,,
1990,2049155,7.8,,,7.75,7,,,,,,,
1991,2049156,,,,,,,,,,,,
1992,2049157,,,,,,,,,,,,
1993,2049158,,,,,,,,,,,,
1994,2049159,8.4,,,8.25,7.75,,,,,,,
1995,2049160,9.2,,,9,8,,,,,,,
1996,2049161,,,,,,,,,,,,
1997,2049162,,,,,,,,,,,,
1998,2049163,,,,,,,,,,,,
1999,2049164,,,,,,,,,,,,
2000,2049165,,,,,,,,,,,,
2001,2049166,,,,,,,,,,,,
2002,2049167,,,,,,,,,,,,
2003,2049168,8.4,,,9,7.75,,,,,,,
2004,2049169,,,,,,,,,,,,
2005,2049170,,,,,,,,,,,,
2006,2049171,,,,,,,,,,,,
2007,2049172,,,,,,,,,,,,
2008,2049173,,,,,,,,,,,,
2009,2049174,,,,,,,,,,,,
2010,2049175,,,,,,,,,,,,
2011,2049176,,,,,,,,,,,,
2012,2049177,8.2,,8.5,4.75,4.75,,,,,,9.4,
2013,2049178,,,,,,,,,,,,
2014,2049179,,,,,,,,,,,,
2015,2049180,,,,,,,,,,,,
2016,2049181,8.4,,7,3.25,3.75,,,,,,9,
2017,2049182,7,,6,7.25,6.5,,,,,,4.8,
2018,2049183,,,,,,,,,,,,
2019,2049184,9.2,,,8.75,8.75,,,,,,,
2020,2049185,7.8,,,7.75,7,,,,,,,
2021,2049186,8.2,,,8.25,8.75,,,,,,,
2022,2049187,,,,,,,,,,,,
2023,2049188,,,,,,,,,,,,
2024,2049189,7.6,6.75,5.25,4,5.5,,,,,,6.6,
2025,2049190,8,6.5,6.75,8.75,8.25,,,,,,7.4,
2026,2049191,8,7,7,4,5.25,,,,,,7.2,
2027,2049192,7.2,7.5,5,7.5,5.75,,,,,,,
2028,2049193,,,,,,,,,,,,
2029,2049194,,,,,,,,,,,,
2030,2049195,,,,,,,,,,,,
2031,2049196,,,,,,,,,,,,
2032,2049197,,,,,,,,,,,,
2033,2049198,,,,,,,,,,,,
2034,2049199,,,,,,,,,,,,
2035,2049200,,,,,,,,,,,,
2036,2049201,,,,,,,,,,,,
2037,2049202,,,,,,,,,,,,
2038,2049203,,,,,,,,,,,,
2039,2049204,,,,,,,,,,,,
2040,2049205,,,,,,,,,,,,
2041,2049206,,,,,,,,,,,,
2042,2049207,,,,,,,,,,,,
2043,2049208,,,,,,,,,,,,
2044,2049209,,,,,,,,,,,,
2045,2049210,,,,,,,,,,,,
2046,2049211,,,,,,,,,,,,
2047,2049212,,,,,,,,,,,,
2048,2049213,,,,,,,,,,,,
2049,2049214,,,,,,,,,,,,
2050,2049215,7.8,8,7.25,5,5,,,,,,8.4,
2051,2049216,,,,,,,,,,,,
2052,2049217,8.4,8,7,7.75,7,,,,,,9,
2053,2049218,8.8,8,8.25,6.5,5.75,,,,,,8.4,
2054,2049219,8.2,6.25,9,8.5,6.25,,,,,,8.8,
2055,2049220,,,,,,,,,,,,
2056,2049221,,,,,,,,,,,,
2057,2049222,8.2,6,5,5,4,,,,,,8.6,
2058,2049223,7,7.5,6,4.5,4,,,,,,6.2,
2059,2049224,8.4,7.75,8,8,6.5,,,,,,8.4,
2060,2049225,,,,,,,,,,,,
2061,2049226,8.4,6.5,8,8.75,7.5,,,,,,9,
2062,2049227,9,7.5,5.75,8.75,7.75,,,,,,8.4,
2063,2049228,8,6.75,7.25,6.5,5.25,,,,,,8.8,
2064,2049229,,,,,,,,,,,,
2065,2049230,8.4,7,6,8.25,4.75,,,,,,8.2,
2066,2049231,8,4.5,5.75,7.75,5.25,,,,,,8.6,
2067,2049232,8.4,5,7.5,6,5.5,,,,,,8.8,
2068,2049233,7.6,6,6.75,8.25,5.75,,,,,,9.4,
2069,2049234,8.2,5.25,7.75,7,5.75,,,,,,7.8,
2070,2049235,7.8,7.5,5.75,6.75,3.75,,,,,,7,
2071,2049236,,,,,,,,,,,,
2072,2049237,9,7,6.75,6.5,7.25,,,,,,9,
2073,2049238,,,,,,,,,,,,
2074,2049239,7,6.25,5.75,7.25,4.5,,,,,,8.4,
2075,2049240,,,,,,,,,,,,
2076,2049241,8.2,6,6.25,9,8,,,,,,6.4,
2077,2049242,6.8,7,4.5,7.25,6.75,,,,,,7.2,
2078,2049243,7.6,8,7.25,7.5,6,,,,,,8.4,
2079,2049244,8.6,5.25,7,7,4.5,,,,,,9.2,
2080,2049245,8,6.5,7.5,8.5,4.75,,,,,,8.4,
2081,2049246,7.8,6.5,7.75,7.5,6,,,,,,9.4,
2082,2049247,6.8,5.5,5.5,4.5,2.75,,,,,,7.2,
2083,2049248,,,,,,,,,,,,
2084,2049249,9,7,6.75,9.25,9.25,,,,,,8.8,
2085,2049250,8.2,6.5,9,7.25,3.5,,,,,,5.8,
2086,2049251,8.8,8,9,8.25,7.25,,,,,,7.4,
2087,2049252,7,6.5,7.25,7.75,5,,,,,,9,
2088,2049253,,,,,,,,,,,,
2089,2049254,8.2,7,4.5,6.25,5.25,,,,,,9,
2090,2049255,8.8,6.5,7.75,8.25,4.75,,,,,,7,
2091,2049256,,,,,,,,,,,,
2092,2049257,8,6,5.25,7,4.25,,,,,,9.2,
2093,2049258,8.4,7.25,7.75,7.75,6.75,,,,,,7.6,
2094,2049259,,,,,,,,,,,,
2095,2049260,8,8,7.25,8.25,8.5,,,,,,8.4,
2096,2049261,8.4,6.25,7.25,8.25,5.75,,,,,,6,
2097,2049262,,,,,,,,,,,,
2098,2049263,9,5.5,7.75,8,5.75,,,,,,6.8,
2099,2049264,,,,,,,,,,,,
2100,2049265,8.8,7.25,8.25,8.5,7.5,,,,,,9,
2101,2049266,8.4,6.5,7.75,6.75,6.25,,,,,,8.6,
2102,2049267,9.4,5.5,8.25,9.25,5.5,,,,,,7.8,
2103,2049268,7.8,5.75,6.5,6,4,,,,,,8.4,
2104,2049269,7.8,7,7.25,9,7.5,,,,,,8,
2105,2049270,6.6,6,6.5,5.5,5,,,,,,9,
2106,2049271,7.2,6.25,6.75,6.25,4.75,,,,,,7.6,
2107,2049272,,,,,,,,,,,,
2108,2049273,8.4,6.25,6,8,7.25,,,,,,8.2,
2109,2049274,8.8,6.75,7.75,8,8.25,,,,,,8.4,
2110,2049275,8.6,6,8.5,9.25,6.5,,,,,,8.8,
2111,2049276,,,,,,,,,,,,
2112,2049277,7,6,7,6,5.25,,,,,,7.8,
2113,2049278,8.6,7.25,8.25,9,7,,,,,,9.4,
2114,2049279,5.8,6,6.5,6.75,4.25,,,,,,6.6,
2115,2049280,8,5,9.5,7.75,4.75,,,,,,7.6,
2116,2049281,9.2,7,7.25,8.5,7,,,,,,8.6,
2117,2049282,8.6,7,7,7.75,7,,,,,,8.6,
2118,2049283,7.6,7,6,5.75,5,,,,,,9.6,
2119,2049284,8,7.5,7,7.75,8.75,,,,,,8.6,
2120,2049285,7.6,6.25,8.5,6.25,4,,,,,,7.6,
2121,2049286,7.6,8,6,7.75,5.5,,,,,,8,
2122,2049287,,,,,,,,,,,,
2123,2049288,8,6.5,6.75,7.5,6.5,,,,,,9.4,
2124,2049289,,,,,,,,,,,,
2125,2049290,8.2,7,7.5,8.25,6.5,,,,,,7.6,
2126,2049291,,,,,,,,,,,,
2127,2049292,8.8,6.5,8.25,9.5,8.5,,,,,,7.2,
2128,2049293,,,,,,,,,,,,
2129,2049294,8,7,6.5,8,3.5,,,,,,5.4,
2130,2049295,8.8,7,7.25,7.25,6.5,,,,,,9,
2131,2049296,8.8,6.25,5,8.5,7,,,,,,,
2132,2049297,,,,,,,,,,,,
2133,2049298,7.8,6,7.5,5.5,4,,,,,,9,
2134,2049299,,,,,,,,,,,,
2135,2049300,,,,,,,,,,,,
2136,2049301,7.8,5,8.75,7.25,5.75,,,,,,9.6,
2137,2049302,,,,,,,,,,,,
2138,2049303,7.4,6.25,7.5,8,8.5,,,,,,9.8,
2139,2049304,7.8,6.5,7,8.75,8.25,,,,,,7.6,
2140,2049305,8,5.5,6.75,7.5,5.25,,,,,,9,
2141,2049306,8.6,6.5,7.75,9.25,4.5,,,,,,7.2,
2142,2049307,8.6,6.25,8.25,7.75,5.5,,,,,,8.4,
2143,2049308,,,,,,,,,,,,
2144,2049309,8.2,3.75,8.25,9,6.75,,,,,,8.8,
2145,2049310,,,,,,,,,,,,
2146,2049311,8.2,5.5,8,8.25,7,,,,,,8.4,
2147,2049312,8.6,6.75,8.75,5.25,4.75,,,,,,9,
2148,2049313,8.2,6,5.75,9.75,8.75,,,,,,6.6,
2149,2049314,7.4,6.5,6.25,7,4.75,,,,,,6.8,
2150,2049315,8.8,7.75,6.75,6.5,6.75,,,,,,9,
2151,2049316,7.6,8,6,6.75,3,,,,,,8.8,
2152,2049317,8.8,6,8.5,7.75,5.5,,,,,,8.4,
2153,2049318,7.4,8,6.25,8,5.5,,,,,,8.6,
